Experiment Number: 6
	Model Name:	 Run #	 time
	base	1	0.345684051514
	base	2	0.66010093689
	base	3	1.20436096191
	base	4	0.795573949814
	base	5	7.06193113327
	base	6	0.478512048721
	base	7	1.16704201698
	base	8	0.963564872742
	base	9	1.4418990612
	base	10	0.701961994171
base Mean:	1.48206310272
base Standard Deviation:	1.88774088612
base Variance:	3.56356565312


	ccb	1	0.351598978043
	ccb	2	0.536576986313
	ccb	3	0.923982858658
	ccb	4	0.720494031906
	ccb	5	6.47876596451
	ccb	6	0.472968101501
	ccb	7	1.20599913597
	ccb	8	1.05374884605
	ccb	9	1.73679280281
	ccb	10	0.686788082123
ccb Mean:	1.41677157879
ccb Standard Deviation:	1.73098326151
ccb Variance:	2.99630305161


	mip1	1	1.44087815285
	mip1	2	1.22811079025
	mip1	3	2.8394010067
	mip1	4	2.47792601585
	mip1	5	8.77628588676
	mip1	6	1.31408596039
	mip1	7	3.43765997887
	mip1	8	2.29226994514
	mip1	9	2.70712614059
	mip1	10	2.03008890152
mip1 Mean:	2.85438327789
mip1 Standard Deviation:	2.08766565351
mip1 Variance:	4.35834788086


	mip2	1	0.398545980453
	mip2	2	1.75488185883
	mip2	3	2.70979595184
	mip2	4	0.442234039307
	mip2	5	9.28599500656
	mip2	6	3.29481291771
	mip2	7	3.56695699692
	mip2	8	0.600855827332
	mip2	9	1.42120790482
	mip2	10	3.54849100113
mip2 Mean:	2.70237774849
mip2 Standard Deviation:	2.50059762835
mip2 Variance:	6.25298849893


	mip3	1	0.399604082108
	mip3	2	3.21996593475
	mip3	3	7.2055618763
	mip3	4	0.588375091553
	mip3	5	19.9569320679
	mip3	6	4.59646296501
	mip3	7	6.10018491745
	mip3	8	0.587018013
	mip3	9	2.82955503464
	mip3	10	5.83046793938
mip3 Mean:	5.13141279221
mip3 Standard Deviation:	5.46300642884
mip3 Variance:	29.8444392416


	tuner	1	0.339617013931
	tuner	2	0.501945018768
	tuner	3	0.889896154404
	tuner	4	0.713804960251
	tuner	5	6.94281196594
	tuner	6	0.44127702713
	tuner	7	1.97811102867
	tuner	8	1.00378012657
	tuner	9	1.41910505295
	tuner	10	0.717579126358
tuner Mean:	1.4947927475
tuner Standard Deviation:	1.87540149761
tuner Variance:	3.51713077725


	gap	1	5.83046793938
	gap	2	5.83046793938
	gap	3	5.83046793938
	gap	4	5.83046793938
	gap	5	5.83046793938
	gap	6	5.83046793938
	gap	7	5.83046793938
	gap	8	5.83046793938
	gap	9	5.83046793938
	gap	10	5.83046793938
gap Mean:	5.83046793938
gap Standard Deviation:	0.0
gap Variance:	0.0


	branch	1	5.83046793938
	branch	2	5.83046793938
	branch	3	5.83046793938
	branch	4	5.83046793938
	branch	5	5.83046793938
	branch	6	5.83046793938
	branch	7	5.83046793938
	branch	8	5.83046793938
	branch	9	5.83046793938
	branch	10	5.83046793938
branch Mean:	5.83046793938
branch Standard Deviation:	0.0
branch Variance:	0.0


